r,l,t
194.0,194,27.964376
115.0,115,28.022038
98.0,98,28.489776
16.0,16,28.498441
94.0,94,28.549684
98.0,98,29.013074
83.0,83,29.060678
19.0,19,29.070157
90.0,90,29.112573
93.0,93,29.576108
55.0,55,29.610836
33.0,33,29.628445
51.0,51,29.653424
164.0,164,30.156765
79.0,79,30.200734
97.0,97,30.659652
175.0,175,30.747479
19.0,19,30.757395
14.0,14,30.772461
150.0,150,31.26285
114.0,114,31.317802
104.0,104,31.789425
101.0,101,31.845099
12.0,12,31.850807
13.0,13,31.856613
14.0,14,31.863098
13.0,13,31.876268
129.0,129,32.412493
15.0,15,32.418935
99.0,99,32.468679
15.0,15,32.48265
110.0,110,32.946803
110.0,110,33.007568
120.0,120,33.487961
132.0,132,33.558747
151.0,151,34.052552
105.0,105,34.106381
20.0,20,34.11672
117.0,117,34.601991
222.0,222,35.135006
102.0,102,35.188705
103.0,103,35.239395
175.0,175,35.74482
115.0,115,36.230999
100.0,100,36.279171
101.0,101,36.327907
10.0,10,36.339345
104.0,104,36.832662
105.0,105,36.887914
99.0,99,37.362411
124.0,124,37.428551
130.0,130,37.920198
141.0,141,37.991146
142.0,142,38.498008
15.0,15,38.5154
138.0,138,38.586098
128.0,128,39.063918
107.0,107,39.115775
96.0,96,39.613448
85.0,85,39.658547
66.0,66,39.699255
81.0,81,40.164072
142.0,142,40.247353
143.0,143,40.73407
109.0,109,40.787246
13.0,13,40.793918
99.0,99,40.848401
117.0,117,41.331342
106.0,106,41.389267
116.0,116,41.871172
205.0,205,42.407455
97.0,97,42.456144
14.0,14,42.462682
95.0,95,42.509696
14.0,14,42.521764
119.0,119,43.001928
124.0,124,43.061468
89.0,89,43.522493
88.0,88,43.57414
84.0,84,43.619378
132.0,132,44.104676
203.0,203,44.642236
149.0,149,44.732758
106.0,106,45.236611
452.0,452,46.321052
135.0,135,46.389518
136.0,136,46.8978
104.0,104,46.948027
103.0,103,47.000514
74.0,74,47.459139
91.0,91,47.511462
88.0,88,47.556162
128.0,128,48.033484
227.0,227,48.5642
177.0,177,48.657363
500.0,500,49.762691
412.0,412,50.799115
137.0,137,51.304891
338.0,338,51.896383
82.0,82,51.93425
78.0,78,51.974554
197.0,197,52.493687
500.0,500,53.596237
500.0,500,54.699805
500.0,500,55.798404
267.0,267,56.353936
201.0,201,56.885471
125.0,125,56.948527
184.0,184,57.479962
187.0,187,58.032901
275.0,275,58.59849
500.0,500,59.702998
467.0,467,60.771292
500.0,500,61.863688
405.0,405,62.495804
427.0,427,63.563984
500.0,500,64.664418
383.0,383,65.288905
500.0,500,66.442462
500.0,500,67.534721
280.0,280,68.099061
241.0,241,68.63614
367.0,367,69.676412
197.0,197,70.206469
