r,l,t
-144.053016,364,1653.821911
-155.94948,151,1663.005532
-62.411229,170,1666.945539
-2.853756,1000,1674.034204
-135.57377,309,1699.353268
212.592155,220,1707.32618
35.025532,1000,1715.894997
69.876044,1000,1744.337565
186.901142,437,1770.601049
257.867389,408,1782.578058
181.133994,368,1793.614817
198.543342,267,1803.420459
9.741247,163,1810.497398
198.5113,286,1815.02589
-41.147252,126,1822.52687
-144.069377,463,1826.73488
-72.279682,387,1839.565908
224.00691,433,1850.430843
36.409281,1000,1865.187127
78.560738,876,1893.96422
-76.387112,412,1917.546209
-243.484744,369,1928.80727
206.395714,465,1939.694233
-227.97021,212,1952.077563
245.154604,263,1957.981958
-77.339709,389,1965.777487
-63.913144,292,1976.416844
146.605697,792,1987.820008
-75.594505,443,2009.315448
-146.46112,470,2021.795981
-21.992355,420,2034.880662
-212.664163,460,2046.774287
214.436145,446,2059.88512
-215.049565,549,2072.76665
-125.979244,1000,2090.183333
-207.403815,752,2119.02377
-45.896771,1000,2143.652518
-245.701893,680,2171.844054
46.618341,905,2194.118409
-62.421832,1000,2221.138598
-227.045578,384,2248.131953
-137.672088,1000,2261.059769
-162.81568,949,2290.582036
114.508346,873,2318.88695
-54.455794,1000,2346.474573
-75.011051,1000,2376.517312
177.155756,865,2405.858725
-95.616793,369,2429.391186
155.137208,831,2441.485471
159.373967,967,2466.697417
211.674231,973,2494.398553
256.084782,402,2520.751421
28.967631,1000,2534.723565
153.049487,739,2564.323525
249.878205,379,2584.917554
117.940347,687,2597.13607
250.571856,983,2617.239942
246.453314,394,2643.780289
-201.978204,296,2654.53603
264.993568,670,2664.558436
-35.202176,250,2682.825176
152.198869,724,2691.033598
232.270485,568,2712.15963
255.269977,371,2727.896263
238.604782,501,2738.875462
273.136128,284,2752.603549
215.131451,778,2762.217848
-91.09519,1000,2786.021888
230.238315,601,2814.341139
270.051089,427,2831.15545
238.136427,344,2843.108922
267.638858,289,2852.725651
226.109979,596,2862.120406
-59.847233,400,2878.812222
236.438443,287,2889.960948
50.936641,1000,2901.886229
299.774362,252,2929.058548
255.044307,292,2936.231171
226.005085,395,2945.103343
275.733849,289,2956.141551
250.820165,249,2964.312876
64.011122,1000,2974.856399
157.072676,1000,3004.562427
-73.777891,1000,3034.625813
-237.86264,1000,3066.319911
244.083504,363,3094.118927
-190.413208,1000,3107.138906
-164.43171,1000,3138.288867
242.074686,301,3165.816289
191.008978,849,3176.117753
266.975774,216,3199.604229
-88.146567,441,3206.168712
35.808396,1000,3221.139596
-157.899757,1000,3250.51708
234.220074,189,3277.864733
96.881402,1000,3285.370662
67.157026,1000,3315.354308
24.993538,134,3342.569299
227.449975,256,3346.606463
274.049156,274,3354.076464
277.207366,281,3361.966173
264.868482,300,3370.019359
253.367362,522,3379.352537
235.666763,242,3393.906794
244.519542,252,3400.886021
-40.880209,190,3408.016905
234.29674,242,3413.605304
9.257815,169,3420.394133
285.399723,250,3425.348812
-10.734229,200,3432.421472
290.574608,239,3438.257201
76.715117,1000,3446.957753
256.405582,190,3474.359039
253.385885,201,3479.755225
260.15863,212,3485.394699
235.328672,234,3491.477629
261.080003,314,3498.490081
260.759621,162,3507.286348
234.381232,176,3511.93965
9.69562,224,3517.058876
20.270207,151,3523.366412
196.072115,425,3528.218215
117.836464,1000,3542.233768
16.50404,164,3569.716854
278.045655,325,3574.768061
212.315273,939,3585.940657
32.370148,159,3611.757433
245.241424,215,3616.348667
-24.697148,146,3622.448634
245.569724,193,3626.638067
-44.700901,211,3632.229456
-98.857175,244,3638.337715
265.327421,197,3645.279627
257.754982,224,3650.995272
201.829157,338,3657.755552
260.197354,276,3667.662198
260.893994,258,3675.752349
237.686958,287,3683.42883
255.2871,277,3691.698646
242.809513,551,3700.655936
253.813165,212,3715.94419
313.341811,271,3722.058832
245.249021,422,3730.573498
264.64925,517,3743.411398
245.785634,311,3758.226055
256.841121,230,3767.212349
243.084487,209,3773.888967
-571.650122,671,3781.869724
264.373351,237,3800.791612
261.509389,256,3807.631476
142.636231,1000,3816.358529
260.351885,196,3844.09368
-76.085878,189,3849.708175
241.461061,329,3855.561048
230.797935,331,3865.147043
277.58531,412,3875.102305
255.729504,191,3886.801462
-15.571542,311,3892.732101
251.266691,279,3901.844155
262.909131,256,3910.058194
269.078852,216,3917.460944
295.236873,341,3923.967424
40.790226,119,3933.471543
185.252214,475,3937.808386
-53.676936,254,3951.188152
181.373835,415,3959.138143
225.663991,335,3971.268524
134.079897,739,3982.646635
114.980094,1000,4006.494585
229.592195,436,4038.849593
3.159908,323,4051.428989
192.177769,390,4061.200603
263.409963,187,4072.185726
231.176249,260,4077.652052
200.239474,404,4085.738951
251.080049,244,4097.387061
229.794005,427,4105.084406
239.04379,245,4118.44879
-3.295729,1000,4127.13084
-95.859909,401,4155.537118
261.387456,247,4167.133858
231.225223,286,4174.507217
233.441024,228,4182.837302
-191.736479,495,4190.161168
228.638394,446,4204.671629
202.951638,453,4218.264891
247.02557,340,4231.547017
242.321381,250,4241.534474
272.913683,730,4249.801564
189.938861,463,4271.297654
78.745199,1000,4287.245176
54.020469,82,4315.396083
-125.14179,478,4318.429687
-36.074409,1000,4335.924717
-276.000489,755,4365.39011
214.949443,218,4386.879694
60.324713,82,4393.027506
33.803421,87,4395.382445
-34.082891,94,4397.949872
275.811653,268,4400.924742
221.214269,199,4408.62621
0.534331,97,4414.320209
-67.204818,80,4417.112417
15.657441,101,4419.489766
260.2111,255,4422.65163
-173.248141,391,4430.315429
12.113712,1000,4444.917217
243.721032,874,4475.33057
-171.075853,466,4500.753109
-102.800203,250,4514.102736
244.829753,186,4521.347993
0.431324,112,4526.650274
264.513926,173,4529.994233
278.320797,152,4535.054536
-13.560555,102,4539.454166
268.791691,233,4542.631706
250.137017,167,4549.340629
188.730827,1000,4555.925139
288.973547,224,4585.161169
-69.604208,102,4591.607244
275.736259,192,4594.720199
-40.73556,97,4600.235296
285.055736,503,4603.763879
277.785641,684,4619.149737
264.488113,216,4638.860381
230.215415,485,4645.933116
-206.64685,258,4660.109444
61.877748,127,4667.501964
180.240766,416,4672.029047
211.273011,559,4685.157269
253.188175,162,4701.166375
244.580512,177,4705.924585
268.188518,188,4711.168441
-128.618319,651,4717.995057
223.221102,343,4737.129899
258.861445,288,4747.155192
232.535284,167,4755.443107
190.091002,254,4760.551182
269.138167,344,4768.231642
-29.805317,126,4778.083762
70.138857,1000,4784.378665
239.186547,183,4812.77784
195.78811,556,4819.196384
247.690384,166,4835.244369
250.313229,180,4840.217832
-5.724793,108,4845.406184
-17.678496,114,4848.603556
247.997026,426,4852.584754
-33.342855,102,4864.789721
238.362208,192,4867.893818
223.920645,355,4873.921179
270.802284,169,4884.155946
212.784278,191,4889.390102
-100.142881,555,4895.756433
291.767073,152,4911.612052
-54.106718,100,4916.020623
-11.77482,79,4918.958152
279.575426,191,4921.426705
237.614565,475,4927.616318
226.322333,201,4941.281667
-104.92549,377,4947.622254
240.479561,239,4958.726183
240.911902,493,4966.57102
153.474257,1000,4982.625494
-29.29133,108,5010.962268
286.806348,166,5014.243985
267.645132,191,5019.193163
-22.997585,84,5024.674063
224.552217,175,5027.245322
236.59849,203,5032.447438
-188.918713,119,5038.327897
30.742974,1000,5044.394133
267.846706,304,5073.125418
-63.070116,106,5081.887005
187.554468,566,5085.983428
-61.349822,108,5102.059666
274.503819,156,5105.282622
196.989084,541,5110.690453
49.95532,129,5126.060509
288.552764,243,5130.116083
283.237442,262,5137.447289
248.39011,187,5145.030955
223.00743,276,5150.733949
-9.834306,88,5158.655216
220.243072,888,5163.487198
210.780073,211,5188.927088
277.199351,200,5195.199633
3.434272,159,5201.089452
236.509794,371,5206.344686
-34.789392,92,5217.058178
-61.361782,136,5219.81957
244.314972,509,5224.395832
218.819572,260,5239.238364
-135.461859,92,5246.728888
-168.228457,83,5249.443727
-81.925895,90,5251.891215
-108.714625,122,5254.593058
-191.559588,625,5259.723878
170.636196,427,5278.216851
185.958642,291,5290.785261
-163.445332,706,5300.782914
248.342657,332,5321.429903
-34.28103,142,5331.075799
241.884619,195,5335.372942
-96.17569,237,5341.213042
160.42744,789,5350.065633
-39.457139,170,5372.87476
-8.788416,96,5377.832165
235.503608,487,5381.618327
214.032686,549,5396.703639
7.299895,1000,5414.851294
249.777109,292,5444.078794
265.830574,315,5452.936651
99.942891,1000,5463.939595
223.465103,331,5493.090306
171.228547,322,5502.999631
240.953113,240,5512.578882
-17.170471,151,5519.604861
251.261713,382,5524.461504
231.971521,293,5535.820276
269.102978,282,5544.675818
236.368625,220,5553.187086
232.833939,614,5561.149787
199.890341,276,5579.2135
292.123937,262,5587.566134
207.464031,282,5595.555012
276.418404,239,5604.071891
265.219766,195,5611.391009
6.445488,227,5617.282815
259.701303,304,5624.236153
265.404248,156,5633.138592
-72.007206,238,5637.91215
233.309592,195,5644.890864
