r,l,t
-87.157059,503,455.372833
-58.018847,1000,460.569239
147.187598,451,462.801679
-64.685326,332,464.245311
-156.382821,548,466.938505
-110.182796,482,469.229597
-137.124676,569,472.070899
-29.283908,347,473.634012
-115.626049,373,475.2465
-68.658054,354,476.729841
-118.56258,295,477.996465
-176.016347,899,482.649679
-170.597702,440,484.835649
-11.633735,355,486.397404
187.612273,296,487.605922
179.842061,591,491.374492
187.665222,592,494.295812
168.144385,397,496.152701
192.83678,668,499.827173
-48.073784,344,501.338153
101.720447,766,505.666283
155.452182,471,508.008988
78.860584,1000,514.279469
195.560003,510,516.808154
248.67895,525,519.564214
247.048803,546,522.481994
31.533931,1000,531.435483
-251.095509,212,532.175348
162.807894,797,537.830539
21.627004,1000,543.104406
191.257287,409,544.971735
258.906946,463,547.021134
245.488476,255,548.082889
270.885834,530,550.574156
189.948227,662,553.507469
203.893925,433,555.587537
247.689692,682,559.00262
226.517785,584,561.998299
-85.801323,622,565.485277
15.392369,1000,572.826625
-55.27153,1000,577.446012
-87.686059,1000,583.12395
107.060057,661,586.306792
-141.345713,635,589.756629
-75.922104,343,591.344503
-83.639519,365,592.929252
-108.291253,470,594.790789
-179.495451,985,601.265735
-122.519159,437,603.191291
-144.17582,728,606.927271
-22.726218,467,609.260368
196.099564,607,612.411404
-26.177352,290,613.671678
204.186737,470,616.154881
215.921574,405,618.007129
173.619699,367,619.657674
159.349274,355,621.301652
189.112123,401,623.377095
197.215096,414,625.284156
-33.396883,249,626.246572
183.950228,325,627.689193
170.761879,320,629.099589
28.880929,150,629.638036
220.480603,243,630.654927
206.520916,290,631.836453
218.15737,441,633.92994
71.643639,175,634.55795
-18.362903,134,635.034746
-0.898532,167,635.604129
263.162193,401,637.336253
51.069032,147,637.845961
233.218254,528,640.188657
250.371426,453,642.279544
226.888246,292,643.485936
266.834248,239,644.429738
245.093768,234,645.290562
225.231557,377,646.945007
-27.297786,175,647.584017
229.716662,216,648.407976
194.256234,303,649.692663
182.935496,320,650.908291
181.000882,272,652.065367
215.233896,273,653.234496
186.154984,278,654.336938
-23.777932,180,654.965032
190.671618,278,656.08185
220.904593,295,657.289832
-119.889084,132,657.788427
7.748924,124,658.216251
-44.453763,152,658.770562
45.722619,113,659.167323
18.292448,116,659.614511
-11.937103,131,660.064399
80.563261,137,660.536922
171.873639,446,662.45841
208.029202,375,663.913762
6.512131,138,664.408958
205.28682,209,665.190139
85.100986,129,665.645704
-50.729087,133,666.099195
158.670701,254,667.041984
228.249614,320,668.283238
170.382658,254,669.219166
94.867895,143,669.714665
-58.529896,131,670.177721
-85.058759,130,670.654787
71.094448,151,671.178499
20.585867,129,671.63949
237.9485,239,672.568695
-71.483288,181,673.19937
173.584675,282,674.366977
-13.485616,119,674.802195
180.861371,280,675.856213
-13.879967,128,676.310341
276.632128,442,678.109453
-39.915253,147,678.634595
-77.30676,140,679.110147
-90.326646,176,679.701756
117.301559,316,680.900779
199.258041,218,681.737057
-31.85295,161,682.305773
-101.086716,228,683.154379
27.374223,226,684.003976
-114.327352,212,684.778707
221.418423,298,685.922381
-90.128919,193,686.627167
38.301853,195,687.338397
-64.746267,210,688.105235
-82.87238,313,689.368723
-102.02518,149,689.890487
223.238044,308,691.119377
151.542863,377,692.661995
-46.100576,213,693.476361
-53.690978,178,694.123592
176.132043,333,695.517553
-75.235396,163,696.072684
116.541699,317,697.409409
149.045243,527,699.800061
150.950056,466,702.194023
-118.592064,250,703.190503
-62.340022,260,704.229428
-0.291718,265,705.265524
-82.270132,176,705.909948
-101.378133,192,706.650291
-94.463172,211,707.419346
-137.592546,341,708.867976
-117.951527,456,710.882997
63.364698,1000,717.292062
-76.189707,323,718.526789
-84.793253,343,719.922101
-99.785382,416,721.611109
-62.020049,294,722.919479
-120.947315,533,725.963695
-122.095299,425,727.60805
100.665569,915,735.228405
-145.900473,873,739.474528
-105.620772,326,740.891989
-95.492932,271,741.926587
-83.792257,289,743.094103
-86.376605,264,744.125008
-230.343037,718,748.833458
-34.128249,290,750.050941
-160.477815,629,753.925578
160.81889,346,755.271903
174.780287,628,759.020997
-44.629329,237,759.999006
-67.525722,1000,766.086753
112.615926,791,770.594873
33.570026,1000,778.029495
154.966848,576,780.970317
24.739132,1000,789.271424
128.760185,885,795.929217
-16.305386,1000,803.337337
132.057462,750,807.921157
-152.000654,746,812.291364
-56.739316,1000,817.988397
-11.081954,1000,827.047939
141.309103,991,833.500363
149.967887,669,838.12571
210.478627,687,841.710014
130.261695,616,844.717932
137.862205,526,847.159894
141.65158,596,850.055713
203.890108,458,852.281011
213.235392,551,855.068138
-62.173269,1000,861.590842
-16.995011,1000,869.967748
-29.854789,1000,874.993584
109.319179,677,879.388613
-56.696303,1000,888.642693
-38.121275,1000,894.545653
131.074756,880,900.337437
-11.396354,1000,906.700981
9.529163,1000,914.107544
-43.149708,1000,921.140219
-22.125656,1000,928.622808
-71.215661,1000,937.24607
-112.825998,1000,941.926858
-111.028538,1000,948.304043
-75.855391,1000,956.887325
-25.10548,1000,964.807767
-56.384498,1000,972.248213
-54.746313,1000,979.486515
-91.683548,1000,986.248062
-58.518043,1000,991.143036
-135.100873,750,995.70499
-159.682372,824,1001.305629
-144.103086,470,1003.497083
-176.860388,398,1005.407173
-144.528762,464,1007.768834
-177.722118,788,1011.740598
-97.322798,554,1014.896507
-76.709204,316,1016.250209
116.733076,638,1019.697984
-69.874519,343,1021.186474
184.726564,612,1024.792171
143.832203,816,1029.573531
139.005728,365,1031.120211
155.167905,352,1032.731715
159.356582,551,1035.844003
-92.041924,356,1037.230031
-34.191444,324,1038.675723
-160.054955,661,1041.859853
-169.683412,953,1047.20728
-171.12259,655,1050.738784
-119.590756,451,1053.10478
155.495416,696,1057.739574
-200.394797,739,1061.71456
100.05664,740,1065.41088
-96.708455,446,1067.671779
-49.676897,267,1068.743327
140.588453,686,1072.24096
-70.510956,388,1073.898564
-98.085067,255,1074.861708
136.251688,713,1079.421961
-80.126561,586,1082.607943
124.576172,642,1086.575794
-34.403879,1000,1091.809133
-33.714466,1000,1097.684022
-6.898717,1000,1104.217848
-137.142171,966,1112.206287
226.772825,477,1114.807684
221.080247,424,1116.741952
-96.071915,425,1118.775491
193.860043,358,1120.447187
226.90731,378,1122.139135
186.286453,384,1123.963633
-32.767086,387,1125.673124
156.917702,414,1127.740283
-109.527112,481,1130.15674
-137.917097,297,1131.261007
247.332519,408,1133.145492
193.901329,708,1137.065661
208.14486,432,1139.140238
185.635147,444,1141.024304
210.975006,308,1142.218265
196.239679,428,1144.185089
108.565486,558,1147.049623
-77.53862,353,1148.594978
141.886788,821,1153.310661
-27.71733,583,1155.783836
223.45694,587,1158.721751
174.778459,809,1162.869752
-158.263714,797,1167.983875
145.477253,975,1173.672732
136.602488,782,1177.243409
-50.60514,1000,1182.765726
-71.501946,1000,1189.634278
-105.857603,1000,1196.527974
-84.701787,1000,1203.3271
-40.113227,1000,1209.720133
-95.680615,1000,1214.550769
-15.250896,1000,1222.01593
-30.376563,1000,1230.743608
-219.683704,689,1234.597012
-175.231717,386,1236.271048
95.624109,820,1241.786293
145.720702,955,1248.437434
-73.46707,1000,1255.498041
-58.671448,1000,1261.451743
-116.7771,432,1263.228076
-87.740409,306,1264.491873
-75.176617,399,1266.262537
-42.30712,379,1267.895059
-138.007682,330,1269.238922
154.933317,560,1271.671515
135.979393,411,1273.449371
89.492464,385,1275.08808
-91.742323,196,1275.805202
-65.959104,191,1276.477875
-90.190439,203,1277.222181
-38.005962,307,1278.469456
-114.008438,330,1279.76114
191.696107,369,1281.31474
156.202834,683,1284.718407
166.150246,540,1287.36147
-54.849622,1000,1293.299417
-160.82266,688,1296.371712
-85.935433,284,1297.501916
-151.559387,383,1299.153585
-149.925379,408,1300.995366
-130.573547,259,1301.983258
-88.426082,207,1302.723885
-142.841895,425,1304.543619
-143.069085,442,1306.660675
-140.531984,415,1308.395098
-164.979499,380,1310.006068
-164.796359,539,1312.713468
-169.35986,434,1314.510799
-178.39403,591,1317.234528
-118.045498,434,1319.11313
111.829648,636,1322.723133
-165.917639,379,1324.297695
135.406871,668,1327.402259
-24.666221,338,1328.744787
222.284911,415,1330.508131
165.65643,823,1335.797546
-17.520073,261,1336.784122
195.084111,735,1340.676511
184.895381,399,1342.206954
153.725167,460,1344.101288
-60.1719,281,1345.24962
194.197878,343,1346.752975
189.360433,452,1348.91516
189.179961,394,1350.636235
217.44512,491,1352.828312
-38.525881,365,1354.322644
-82.32601,267,1355.407276
207.190809,436,1357.33439
176.56088,743,1361.490592
-69.307771,253,1362.39941
-102.466088,377,1364.08048
126.874651,792,1367.824171
-104.388595,745,1371.373731
-96.376381,1000,1376.625181
-162.160189,1000,1382.608228
-221.341505,1000,1390.16181
-148.458088,1000,1395.245166
-306.087844,838,1399.566335
-105.902728,1000,1405.357968
-111.399233,1000,1411.434907
-122.90591,1000,1418.178654
-121.155591,1000,1425.671896
-107.14641,1000,1431.39806
-137.434768,1000,1438.95531
-48.053437,1000,1444.660869
-48.940527,1000,1449.204049
-91.501783,1000,1455.742185
11.128904,1000,1461.517295
-48.480963,1000,1468.923002
-29.855574,1000,1476.040449
-34.264021,1000,1484.220614
-48.876999,1000,1491.681458
-155.483242,652,1494.616185
-35.181102,1000,1500.421183
-102.190479,1000,1505.086173
-6.594588,1000,1512.368257
-53.816625,1000,1520.377665
-126.573151,1000,1527.297988
-42.95339,1000,1533.691097
-111.442337,1000,1538.847749
-163.056237,1000,1546.457118
-103.722478,1000,1554.119574
-62.447173,1000,1559.955885
-56.770101,1000,1564.19591
-4.347607,1000,1570.301769
-21.393898,1000,1575.889569
-67.093794,1000,1584.378595
59.948487,941,1592.125515
-51.570499,1000,1598.676185
-40.703944,1000,1604.42222
-46.214379,1000,1609.545257
-49.300205,1000,1616.31325
-111.477718,1000,1624.170508
-80.013748,1000,1631.277497
-121.511974,1000,1639.724812
-110.916647,1000,1646.188417
-48.797266,1000,1651.255023
-38.288976,1000,1658.433606
-14.630175,1000,1665.57833
-46.843914,1000,1671.496607
-34.339788,1000,1677.469205
7.794989,1000,1685.419446
24.388323,1000,1692.06583
-19.491132,1000,1698.287516
-43.831679,1000,1705.394501
0.627757,1000,1710.653652
26.93844,1000,1716.611407
-42.283911,1000,1724.692258
-21.131792,1000,1733.499497
12.091476,1000,1740.168322
-44.296019,1000,1744.877318
-10.285886,1000,1752.276629
-20.406898,1000,1756.590456
-37.826348,1000,1763.332881
-78.27311,1000,1768.279699
-135.651119,624,1771.892566
-115.422196,1000,1778.206316
-63.65901,1000,1786.259899
-54.514756,1000,1791.321756
-22.356409,1000,1797.819667
-73.458458,439,1799.772935
-80.350925,1000,1807.570792
-78.417003,287,1808.704889
-130.908617,607,1812.343199
-29.564592,1000,1817.228865
0.054807,1000,1824.4905
7.032031,1000,1831.401073
-48.661295,1000,1838.752171
-49.629516,1000,1846.341466
-72.922156,1000,1853.634892
-31.103996,1000,1859.557174
-44.754499,1000,1866.369473
-59.107882,1000,1871.85177
-42.907082,1000,1878.819193
-0.168643,1000,1884.505595
-168.410951,971,1891.946907
-168.643219,686,1895.793111
-128.033673,784,1900.344086
-58.690922,1000,1906.573025
-145.404997,838,1912.460333
-60.604009,358,1914.009483
-59.415518,435,1915.914645
-98.776296,1000,1923.34235
79.886032,572,1926.589529
86.622232,863,1933.195798
-65.60843,442,1935.375262
-65.28975,518,1938.138226
-70.966629,320,1939.601449
64.259556,634,1943.211092
-72.340292,563,1945.936337
135.335096,484,1948.675621
105.746916,714,1953.479001
207.797344,571,1956.660688
164.63957,539,1958.942281
-89.241297,1000,1965.080969
174.278626,533,1968.333065
185.20982,516,1971.100593
185.709128,470,1973.41259
-72.318252,1000,1979.466526
-84.376093,1000,1985.287754
174.171819,486,1987.842929
127.879816,636,1991.570822
203.258679,425,1993.462729
