r,l,t
-0.541152,1000,207.192584
-0.541222,1000,208.079821
-0.524058,1000,208.954526
-0.51345,1000,209.820428
-0.473816,1000,210.686801
-0.503559,1000,211.561235
-0.508258,1000,212.429626
-0.466718,1000,213.289329
-0.456283,1000,214.170007
-0.494917,1000,215.034236
-0.447667,1000,215.904415
-0.408315,1000,216.783136
-0.416626,1000,217.651202
-0.393412,1000,218.512149
-0.427609,1000,219.377779
-0.366801,1000,220.241921
-0.40719,1000,221.109298
-0.367845,1000,221.976645
-0.37475,1000,222.845325
-0.382018,1000,223.71149
-0.377759,1000,224.583028
-0.319581,1000,225.464052
-0.345966,1000,226.335603
-0.335358,1000,227.218961
-0.337725,1000,228.093434
-0.323369,1000,228.96192
-0.309138,1000,229.842193
-0.323304,1000,230.499571
-0.316884,1000,231.370499
-0.299937,1000,232.239449
-0.294556,1000,233.118883
-0.287701,1000,233.982012
-0.285529,1000,234.839623
-0.274727,1000,235.772361
-0.285778,1000,236.645642
-0.269998,1000,237.553231
-0.271248,1000,238.425839
-0.228615,1000,239.296163
-0.228589,1000,240.163326
-0.262506,1000,241.032259
-0.243218,1000,241.894493
-0.240216,1000,242.763972
-0.230125,1000,243.661074
-0.226299,1000,244.540772
-0.223875,1000,245.41955
-0.207411,1000,246.306365
-0.2265,1000,247.186413
-0.20658,1000,248.064489
-0.216639,1000,248.929289
-0.206392,1000,249.808018
-0.206998,1000,250.679686
-0.211472,1000,251.586144
-0.188019,1000,252.482416
-0.188965,1000,253.36072
-0.183734,1000,254.229963
-0.186804,1000,255.097681
-0.175483,1000,255.967714
-0.199562,1000,256.846328
-0.169652,1000,257.724439
-0.166481,1000,258.586733
-0.169819,1000,259.45579
-0.161983,1000,260.309507
-0.160455,1000,261.183204
-0.169923,1000,262.053758
-0.167999,1000,262.908224
-0.153291,1000,263.781875
-0.15923,1000,264.659822
-0.158078,1000,265.525195
-0.144984,1000,266.403792
-0.147578,1000,267.2887
-0.145093,1000,267.967493
-0.152843,1000,268.835361
-0.145095,1000,269.705455
-0.139896,1000,270.576231
-0.124426,1000,271.456398
-0.137251,1000,272.326489
-0.13365,1000,273.199161
-0.111623,1000,274.066265
-0.121835,1000,274.934409
-0.121826,1000,275.806423
-0.11903,1000,276.67474
-0.11203,1000,277.548339
-0.104021,1000,278.423365
-0.113587,1000,279.295536
-0.116178,1000,280.171452
-0.101306,1000,281.053128
-0.103803,1000,281.918616
-0.105013,1000,282.779562
-0.10316,1000,283.654217
-0.104103,1000,284.523481
-0.104294,1000,285.42302
-0.098384,1000,286.291037
-0.097804,1000,287.167825
-0.096513,1000,288.030085
-0.097865,1000,288.915621
-0.094262,1000,289.78195
-0.090468,1000,290.676402
-0.086774,1000,291.54253
-0.086824,1000,292.410202
-0.088735,1000,293.282506
-0.089597,1000,294.143598
-0.090321,1000,295.006225
-0.0787,1000,295.88228
-0.087004,1000,296.765659
-0.081912,1000,297.647935
-0.075864,1000,298.522849
-0.085692,1000,299.402488
-0.076279,1000,300.274107
-0.074641,1000,301.15534
-0.070159,1000,302.027069
-0.074664,1000,302.909427
-0.067976,1000,303.796355
-0.070619,1000,304.669035
-0.068413,1000,305.34084
-0.068398,1000,306.217078
-0.067328,1000,307.104372
-0.07337,1000,307.979323
-0.068781,1000,308.848481
-0.068078,1000,309.718769
-0.063621,1000,310.587814
-0.062183,1000,311.498864
-0.059898,1000,312.405695
-0.058909,1000,313.31443
-0.061058,1000,314.222484
-0.050766,1000,315.111947
-0.057179,1000,316.003877
-0.057037,1000,316.889129
-0.059725,1000,317.746059
-0.056047,1000,318.618254
-0.055269,1000,319.483392
-0.052904,1000,320.360888
-0.05064,1000,321.225209
-0.050615,1000,322.095935
-0.051597,1000,322.966542
-0.054451,1000,323.81718
-0.04739,1000,324.700389
-0.051921,1000,325.5792
-0.045195,1000,326.463274
-0.047629,1000,327.338096
-0.047741,1000,328.245073
-0.046958,1000,329.121447
-0.044555,1000,329.995307
-0.046615,1000,330.858512
-0.04518,1000,331.72906
-0.043649,1000,332.600191
-0.040831,1000,333.489213
-0.040466,1000,334.368366
-0.038183,1000,335.228463
-0.044753,1000,336.096686
-0.042818,1000,336.972983
-0.040579,1000,337.843238
-0.039173,1000,338.70723
-0.040993,1000,339.570573
-0.041805,1000,340.439513
-0.040337,1000,341.334398
-0.039748,1000,341.999815
-0.038973,1000,342.858716
-0.039309,1000,343.736095
-0.035081,1000,344.592206
-0.03355,1000,345.457126
-0.03558,1000,346.331381
-0.033174,1000,347.195474
-0.037279,1000,348.064942
-0.033624,1000,348.927546
-0.034111,1000,349.793644
-0.034428,1000,350.656323
-0.031979,1000,351.536734
-0.031739,1000,352.405601
-0.030052,1000,353.270933
-0.03132,1000,354.141773
-0.034858,1000,354.998595
-0.032342,1000,355.871237
-0.027738,1000,356.731261
-0.03007,1000,358.11356
-0.031131,1000,359.150189
-0.031982,1000,360.150223
-0.02928,1000,361.124898
-0.030002,1000,362.110643
-0.028888,1000,363.097095
-0.029195,1000,364.164483
-0.029213,1000,365.407537
-0.026363,1000,366.51733
-0.026333,1000,367.393832
-0.028657,1000,368.28345
-0.025174,1000,369.145125
-0.024899,1000,370.020856
-0.025867,1000,370.908488
-0.02697,1000,371.811648
-0.024572,1000,372.690743
-0.026934,1000,373.573521
-0.02521,1000,374.441969
-0.025192,1000,375.308527
-0.024553,1000,376.177591
-0.025537,1000,377.05291
-0.023083,1000,377.928749
-0.025945,1000,378.793956
-0.023176,1000,379.658162
-0.023228,1000,380.535671
-0.022388,1000,381.202154
-0.022086,1000,382.070772
-0.021708,1000,382.945467
-0.022977,1000,383.81082
-0.02155,1000,384.68422
-0.022726,1000,385.537355
-0.021804,1000,386.417998
-0.020582,1000,387.297827
-0.021415,1000,388.182168
-0.021702,1000,389.041842
-0.022477,1000,389.919634
