r,l,t
60.578665,663,873.490599
91.348872,132,886.372549
91.202076,127,889.001648
89.599685,224,891.570894
87.779108,230,896.035718
53.654669,983,901.02918
-44.804761,1000,920.782908
-14.150639,1000,941.015108
83.171931,854,961.399687
-45.01922,1000,979.008574
-32.508672,1000,999.520096
-25.420037,1000,1020.542256
-23.184944,1000,1041.392313
94.32328,88,1062.402837
90.704462,165,1064.335457
94.441241,87,1067.833749
94.550484,73,1069.739049
94.386736,75,1071.358927
91.550359,147,1073.065295
94.622399,73,1076.378519
93.839157,72,1078.028097
84.946125,392,1079.856129
93.822173,83,1088.340787
93.881026,69,1090.181547
93.200092,140,1091.761364
94.749216,71,1094.841375
93.550906,165,1096.508531
93.880752,67,1100.128441
92.723794,135,1101.661357
93.929261,73,1104.605731
94.111245,67,1106.211576
93.924935,66,1107.677725
94.447138,69,1109.105941
94.714503,84,1110.590302
94.264846,69,1112.405057
94.078571,71,1113.918474
93.788143,66,1115.448509
94.100697,69,1116.878643
94.060319,66,1118.366586
94.105324,69,1119.799031
94.132461,67,1121.312179
93.744303,67,1122.786962
94.108892,73,1124.263596
93.024034,146,1125.908798
90.761126,220,1129.197082
93.984156,69,1133.939777
93.521301,68,1135.437296
92.871724,144,1136.97983
93.788768,67,1140.063087
94.333091,89,1141.528163
94.978622,71,1143.468431
93.961203,67,1145.032983
94.204508,68,1146.495541
94.369676,67,1147.982782
92.967398,140,1149.490133
95.203351,77,1152.526448
93.942456,66,1154.209893
93.927166,69,1155.678766
93.800093,66,1157.21926
93.862315,66,1158.673415
93.854161,68,1160.1267
93.964333,71,1161.642953
93.705336,83,1163.219169
93.86535,71,1165.042854
92.641213,158,1166.687381
94.260396,66,1170.157989
95.019067,72,1171.64269
94.224564,69,1173.271158
93.629139,67,1174.820707
94.380737,69,1176.343594
92.423103,130,1177.928524
92.313372,131,1180.866605
89.45843,206,1183.860397
94.203805,68,1188.471411
93.762593,70,1190.034692
91.675824,135,1191.674272
94.191433,68,1194.703135
94.634846,72,1196.251347
94.328466,68,1197.891385
94.723749,74,1199.428474
90.166075,148,1201.163313
81.485085,293,1204.600012
94.399646,70,1211.170363
93.806245,69,1212.787324
93.965797,77,1214.420187
94.154434,74,1216.245041
94.43983,70,1218.033184
95.16822,85,1219.716882
93.983488,69,1221.729259
93.71636,68,1223.366983
91.847075,136,1225.024092
93.520988,69,1228.252284
95.471122,76,1229.900441
94.832822,73,1231.73006
94.149948,68,1233.43884
94.015362,66,1235.026238
94.0592,67,1236.585746
94.127058,67,1238.200544
94.350556,68,1239.785388
93.997227,68,1241.410563
94.072339,101,1243.038451
95.909018,81,1245.385999
94.25355,69,1247.300156
94.616108,69,1248.948645
95.228012,88,1250.60174
93.805689,66,1252.703365
93.988038,66,1254.270814
94.29774,75,1255.864341
93.913684,70,1257.642506
95.514127,74,1259.309282
95.315401,74,1261.088055
94.773923,72,1262.865097
94.760913,72,1264.572063
94.880827,81,1266.31108
93.984664,66,1268.243894
94.090924,70,1269.809348
94.137486,68,1271.488803
93.721065,65,1273.13632
94.268152,69,1274.682399
94.543614,68,1276.355648
94.237626,77,1278.004159
94.521894,71,1279.869558
94.340103,79,1281.607274
95.324919,73,1283.530238
94.299474,68,1285.288098
94.785103,73,1286.945528
94.569859,70,1288.703313
94.902366,71,1290.42455
94.917456,70,1292.156942
94.764267,72,1293.85918
94.430935,70,1295.605872
94.733392,71,1297.319216
94.959715,70,1299.053653
81.91951,361,1300.932726
91.225289,153,1309.716382
95.550446,73,1313.425943
94.567136,70,1315.207714
93.896387,69,1316.937978
94.872498,69,1318.607701
94.774047,95,1320.285341
88.951651,229,1322.685721
94.893685,69,1328.178765
94.668785,67,1329.855154
93.837111,69,1331.488782
94.614507,67,1333.16417
94.791316,72,1334.792431
95.31302,73,1336.555341
94.258088,89,1338.368927
94.376227,72,1340.559495
90.929661,150,1342.405559
95.161609,71,1346.110049
94.523381,67,1347.855292
94.495577,70,1349.499846
94.749535,68,1351.221994
94.612406,70,1352.907659
94.211356,70,1354.638486
94.391895,66,1356.351193
94.615091,67,1357.972917
94.738666,67,1359.641098
93.737739,70,1361.316176
94.84911,68,1363.047171
91.819442,146,1364.811083
91.31986,117,1368.403904
94.539652,71,1371.287893
89.988463,236,1373.119328
94.799957,76,1378.840943
94.015102,67,1380.711749
95.57864,77,1382.367907
